Название,Тип лодки,Тип Яхты,Команда,Добавить повара,Регион,Акватория,Порт,Каюты,Длина,Места для гостей,Туалет,Корпус,Лодок,Стоимость за день,Состояние,Фото
Кинешма,Круизная,Sunseeker 76,Капитан и помощник,Да,Дальний Восток,Амурский лиман,Николаевск-на-Амуре,5,23 м,13,2,,1,66500,5,https://searadar.com/uploads/boats/crop/1200/675/95d/55/53745-1675765-azimut-atlantis-55-lia.jpg
Юрьевец,Круизная,Рикошет 747,Капитан,Нет,Дальний Восток,Зейское море,Зея,2,8 м,5,1,,1,19500,3,https://searadar.com/uploads/boats/crop/1200/675/821/d6/47353-1776363-elan-e4-vila.jpeg
Городец,Круизная,Картер 30,Капитан и помощник,Нет,Дальний Восток,Зейское море,Зея,2,9 м,5,Нет,,1,22500,5,https://searadar.com/uploads/boats/crop/1200/675/d09/ef/4843-1654591-elan-344-argo.jpg
Изборск,Круизная,Дракон,Капитан,Нет,Дальний Восток,Зейское море,Зея,3,9 м,6,Нет,,1,23500,3,https://searadar.com/uploads/boats/crop/1200/675/d2e/fb/4825-1549105-elan-344-naftaki.jpg
Печоры,Круизная,Таганрог 70,Капитан и помощник,Да,Карелия,Озеро Имандра,Мончегорск,6,21 м,13,2,,1,51000,5,https://searadar.com/uploads/boats/crop/1200/675/8c4/f6/55680-1815320-elan-impression-35-aurora.jpg
Талабск,Круизная,Nimbus 405 Coupe,Капитан,Да,Карелия,Озеро Имандра,Мончегорск,4,13 м,7,2,,1,24500,4,https://searadar.com/uploads/boats/crop/1200/675/3b3/46/59924-1855654-balt-37-grand-12.jpg
Труворово,Круизная,Картер 30,Капитан,Нет,Карелия,Озеро Имандра,Мончегорск,3,9 м,6,1,,1,21500,5,https://searadar.com/uploads/boats/crop/1200/675/1d1/f9/3979-1639615-elan-384-impression-naiada.jpeg
Столобный,Круизная,Swan 65,Капитан и помощник,Да,Карелия,Выгозеро,Сегежа,5,20 м,13,2,,1,48000,5,https://searadar.com/uploads/boats/crop/1200/675/727/87/50956-1811951-cyclades-434-kalypso.jpg
Хачин,Круизная,Hanse 445,Капитан,Да,Карелия,Выгозеро,Сегежа,4,13 м,8,3,,1,26500,4,https://searadar.com/uploads/boats/crop/1200/675/2be/fa/12578-1768479-hanse-415-natali.jpeg
Кравотынь,Круизная,Princess 62,Капитан и помощник,Да,Карелия,Выгозеро,Сегежа,6,19 м,12,2,,1,41500,4,https://searadar.com/uploads/boats/crop/1200/675/c1a/07/59933-1855714-balt-37-grand-17.jpg
Заплавье,Круизная,Dufour 460 Grand Large,Капитан и помощник,Да,Карелия,Пяозеро,Лоухи,4,14 м,9,3,,1,30000,3,https://searadar.com/uploads/boats/crop/1200/675/c82/32/59876-1878320-dufour-350-grand-large-arkadia.jpeg
Нилова пустынь,Круизная,Bavaria 32,Капитан,Нет,Карелия,Пяозеро,Лоухи,3,10 м,6,1,,1,19000,3,https://searadar.com/uploads/boats/crop/1200/675/29d/0c/59102-1693839-bavaria-38-classic.jpeg
Корбу,Круизная,Дракон,Капитан и помощник,Нет,Карелия,Пяозеро,Лоухи,2,9 м,5,Нет,,1,16000,3,https://searadar.com/uploads/boats/crop/1200/675/d48/ac/6233-1776955-elan-impression-40-anadea.jpg
Чулышман,Круизная,Картер 30,Капитан,Нет,Якутия,Река Лена,Якутск,4,9 м,7,Нет,,1,36000,5,https://searadar.com/uploads/boats/crop/1200/675/fa1/b2/23265-1776969-elan-impression-40-despacito.jpg
Алтын-Кёль,Круизная,Alubat Ovni 435,Капитан,Да,Якутия,Река Лена,Якутск,3,13 м,8,2,,1,40000,4,https://searadar.com/uploads/boats/crop/1200/675/f5d/ab/15150-1784715-elan-impression-40-hulk.jpeg
Артыбашка,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Якутия,Река Лена,Якутск,5,14 м,10,3,,1,50000,4,https://searadar.com/uploads/boats/crop/1200/675/754/00/6181-1772106-sun-odyssey-349-b-nara.jpeg
Хибины,Круизная,Судоход 115,Капитан и помощник,Да,Подмосковье,Иваньковское водохранилище,Конаково,7,28 м,17,3,,1,69500,5,https://searadar.com/uploads/boats/crop/1200/675/560/57/4751-1633768-catalina-42-tintaro.jpg
Ловозеро,Круизная,Дракон,Капитан,Нет,Подмосковье,Иваньковское водохранилище,Конаково,3,9 м,7,1,,1,23500,4,https://searadar.com/uploads/boats/crop/1200/675/4a2/a4/5605-1544251-cyclades-393-rhodes-yachting.jpg
Умбозеро,Круизная,Дракон,Капитан,Нет,Подмосковье,Иваньковское водохранилище,Конаково,4,9 м,7,1,,1,23500,4,https://searadar.com/uploads/boats/crop/1200/675/a66/77/4752-1535990-cyclades-433-tecno-sail.jpg
Сегозеро,Круизная,Полутонник,Капитан,Нет,Подмосковье,Иваньковское водохранилище,Конаково,2,10 м,5,Нет,,1,17000,4,https://searadar.com/uploads/boats/crop/1200/675/034/34/4189-1579283-cyclades-434-blondie.jpg
Куйто,Моторная,Nimbus 405 Coupe,Капитан и помощник,Да,Подмосковье,Иваньковское водохранилище,Конаково,3,13 м,8,1,,1,26000,3,https://searadar.com/uploads/boats/crop/1200/675/1e0/4d/53708-1659775-beneteau-barracuda-8-whisper.jpeg
SV20 «Норд»,Спортивная,SV20,Капитан,Нет,Подмосковье,Клязьминское водохранилище,Пирогово,0,6 м,4,Нет,Килевая,5,28000,5,/photos/fleet-1.jpg
Platu 25 «Ветер»,Спортивная,Platu 25,Капитан,Нет,Подмосковье,Клязьминское водохранилище,Пирогово,0,8 м,4,Нет,Килевая,3,34000,4,/photos/fleet-1.jpg
SV20 «Ост»,Спортивная,SV20,Капитан,Нет,Балтика,Невская губа,Кронштадт,0,6 м,4,Нет,Килевая,4,30000,5,/photos/fleet-1.jpg
J/70 «Норд-Ост»,Спортивная,J/70,Капитан,Нет,Балтика,Невская губа,Кронштадт,0,7 м,4,Нет,Килевая,6,38000,5,/photos/fleet-1.jpg
Platu 25 «Юг»,Спортивная,Platu 25,Капитан,Нет,Чёрное море,Сочинское побережье,Сочи,0,8 м,4,Нет,Килевая,3,36000,4,/photos/fleet-1.jpg
Melges 24 «Бриз»,Спортивная,Melges 24,Капитан,Нет,Чёрное море,Геленджикская бухта,Геленджик,0,7 м,4,Нет,Килевая,2,32000,4,/photos/fleet-1.jpg
SV20 «Вест»,Спортивная,SV20,Капитан,Нет,Дальний Восток,Амурский залив,Владивосток,0,6 м,4,Нет,Килевая,2,29000,5,/photos/fleet-1.jpg
Beneteau First 7.5 «Стрелка»,Спортивная,Beneteau First 7.5,Капитан,Нет,Волга,Горьковское водохранилище,Нижний Новгород,0,8 м,4,Нет,Килевая,2,26000,4,/photos/fleet-1.jpg
Platu 25 «Волга»,Спортивная,Platu 25,Капитан,Нет,Волга,Куйбышевское водохранилище,Казань,0,8 м,4,Нет,Килевая,2,27000,4,/photos/fleet-1.jpg
Beneteau First 7.5 «Ярославна»,Спортивная,Beneteau First 7.5,Капитан,Нет,Волга,Рыбинское водохранилище,Ярославль,0,8 м,4,Нет,Килевая,1,25000,3,/photos/fleet-1.jpg
Bavaria Cruiser 46 «Валаам»,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Карелия,Ладожское озеро,Сортавала,3,14 м,8,2,,1,62000,5,https://searadar.com/uploads/boats/crop/1200/675/51e/b4/3370-1686809-bavaria-39-cruiser-af-b39ii.jpg
Hanse 445 «Шхеры»,Круизная,Hanse 445,Капитан,Да,Карелия,Ладожское озеро,Сортавала,3,13 м,8,2,,1,55000,4,https://searadar.com/uploads/boats/crop/1200/675/9c7/b4/58361-1677638-hanse-418-aloisia.jpg
Dufour 460 «Помор»,Круизная,Dufour 460 Grand Large,Капитан и помощник,Да,Карелия,Белое море,Чупа,4,14 м,8,2,,1,78000,5,https://searadar.com/uploads/boats/crop/1200/675/fb2/a8/8-1847798-dufour-350-grand-large-friday.jpg
Sun Odyssey 449 «Кижи»,Круизная,Jeanneau Sun Odyssey 449,Капитан,Да,Карелия,Онежское озеро,Петрозаводск,3,14 м,8,2,,1,58000,4,https://searadar.com/uploads/boats/crop/1200/675/e2c/f2/3524-1655576-sun-odyssey-349-actaea.jpeg
Oceanis 45 «Авача»,Круизная,Beneteau Oceanis 45,Капитан и помощник,Да,Дальний Восток,Камчатка,Усть-Камчатск,4,14 м,8,2,,1,96000,5,https://searadar.com/uploads/boats/crop/1200/675/08d/a5/549-1822888-first-407-milena.jpg
Lagoon 42 «Анива»,Круизная,Lagoon 42,Капитан и помощник,Да,Дальний Восток,Залив Анива,Корсаков,4,13 м,10,2,,1,105000,5,https://searadar.com/uploads/boats/crop/1200/675/db0/57/2145-1571233-astrea-42-nancy.jpg
Bavaria Cruiser 46 «Лена»,Круизная,Bavaria Cruiser 46,Капитан и помощник,Да,Якутия,Река Лена,Ленск,3,14 м,8,2,,1,88000,4,https://searadar.com/uploads/boats/crop/1200/675/560/57/4751-1633768-catalina-42-tintaro.jpg
Hanse 458 «Выборг»,Круизная,Hanse 458,Капитан,Да,Балтика,Финский залив,Санкт-Петербург,4,14 м,8,2,,1,68000,5,https://searadar.com/uploads/boats/crop/1200/675/a69/1f/4240-1619657-hanse-418-polynoe.jpg
Oceanis 41 «Ривьера»,Круизная,Beneteau Oceanis 41,Капитан,Да,Чёрное море,Сочинское побережье,Сочи,3,12 м,8,1,,1,52000,4,https://searadar.com/uploads/boats/crop/1200/675/b03/84/5304-1619640-beneteau-first-45-xena.jpg
Sun Odyssey 410 «Скалы»,Круизная,Jeanneau Sun Odyssey 410,Капитан,Да,Чёрное море,Геленджикская бухта,Геленджик,3,12 м,8,1,,1,49000,5,https://searadar.com/uploads/boats/crop/1200/675/b41/c5/55867-1796771-sun-odyssey-349-adria-moon.jpeg
Hanse 415 «Русский»,Круизная,Hanse 415,Капитан,Да,Дальний Восток,Амурский залив,Владивосток,3,12 м,8,1,,1,64000,4,https://searadar.com/uploads/boats/crop/1200/675/d31/e3/46744-1545429-hanse-455-piri-reis-ii.jpeg
Bavaria Cruiser 37 «Азов»,Круизная,Bavaria Cruiser 37,Капитан,Нет,Азовское море,Ейский лиман,Ейск,3,11 м,6,1,,1,42000,3,https://searadar.com/uploads/boats/crop/1200/675/4a2/a4/5605-1544251-cyclades-393-rhodes-yachting.jpg
Bavaria Cruiser 41 «Ольхон»,Круизная,Bavaria Cruiser 41,Капитан,Да,Байкал,Южный Байкал,Листвянка,3,12 м,8,2,,1,32000,5,https://searadar.com/uploads/boats/crop/1200/675/a66/77/4752-1535990-cyclades-433-tecno-sail.jpg
Hanse 415 «Баргузин»,Круизная,Hanse 415,Капитан,Да,Байкал,Южный Байкал,Листвянка,3,12 м,8,1,,1,30500,4,https://searadar.com/uploads/boats/crop/1200/675/7d4/fa/3572-1589513-hanse-458-celine-1.jpg
Sun Odyssey 449 «Сарма»,Круизная,Jeanneau Sun Odyssey 449,Капитан и помощник,Да,Байкал,Южный Байкал,Листвянка,4,14 м,10,2,,1,41000,5,https://searadar.com/uploads/boats/crop/1200/675/b41/c5/50322-1735485-sun-odyssey-349-horizonte.jpeg
Bavaria Cruiser 37 «Хужир»,Круизная,Bavaria Cruiser 37,Капитан,Нет,Байкал,Малое Море,Хужир,3,11 м,6,1,,1,22500,4,https://searadar.com/uploads/boats/crop/1200/675/034/34/4189-1579283-cyclades-434-blondie.jpg
Oceanis 45 «Шаманка»,Круизная,Beneteau Oceanis 45,Капитан и помощник,Да,Байкал,Малое Море,Хужир,4,14 м,10,2,,1,38500,4,https://searadar.com/uploads/boats/crop/1200/675/703/37/6478-1586463-oceanis-301-carina.jpg
Princess V50 «Магнолия»,Моторная,Princess V50,Капитан и помощник,Да,Чёрное море,Сочинское побережье,Сочи,3,15 м,10,2,,1,145000,5,https://searadar.com/uploads/boats/crop/1200/675/6ca/2a/60693-1864229-3d-tender-lux-500-stingray-predator-640.jpg
Azimut 55 «Кавказ»,Моторная,Azimut 55,Капитан и помощник,Да,Чёрное море,Геленджикская бухта,Геленджик,3,17 м,12,3,,1,190000,5,https://searadar.com/uploads/boats/crop/1200/675/eb8/19/51384-1571757-akhir-27-shiva.jpg
Galeon 425 «Нева»,Моторная,Galeon 425 HTS,Капитан,Да,Балтика,Невская губа,Кронштадт,2,13 м,10,1,,1,128000,5,https://searadar.com/uploads/boats/crop/1200/675/545/dc/50122-1792912-altair-45-nn.jpg
Nimbus 405 «Гранит»,Моторная,Nimbus 405 Coupe,Капитан,Да,Карелия,Ладожское озеро,Сортавала,2,13 м,8,1,,1,112000,4,https://searadar.com/uploads/boats/crop/1200/675/8f5/2c/49977-1655417-altair-zafir-42-running-on-waves.jpg
Botnia Targa 37 «Косатка»,Моторная,Botnia Targa 37,Капитан и помощник,Да,Дальний Восток,Камчатка,Петропавловск-Камчатский,2,12 м,8,1,,1,168000,5,https://searadar.com/uploads/boats/crop/1200/675/f69/92/764-1818452-antares-30-fly-lumar-seamotion.jpg
Botnia Targa 32 «Кузова»,Моторная,Botnia Targa 32,Капитан и помощник,Нет,Карелия,Белое море,Чупа,2,10 м,6,1,,1,134000,5,https://searadar.com/uploads/boats/crop/1200/675/23e/d7/50080-1737263-antares-36-galeb.jpg
Azimut 43 «Попова»,Моторная,Azimut 43,Капитан и помощник,Да,Дальний Восток,Амурский залив,Владивосток,2,13 м,10,1,,1,152000,4,https://searadar.com/uploads/boats/crop/1200/675/f2b/e3/39117-1557862-antares-9-ob-arya.jpg
Galeon 380 «Свияга»,Моторная,Galeon 380 Fly,Капитан,Да,Волга,Куйбышевское водохранилище,Казань,2,12 м,8,1,,1,98000,4,https://searadar.com/uploads/boats/crop/1200/675/64e/52/52789-1799430-antares-9-bella-vista.jpg
